City,County,Region, Area (sq. mi.) ,Latitude,Longitude, pop2020 ,pop2023,Tier,Growth, Population Density ,Median Household Income,Income Generated (median),Median Age,Bachelors Degree,Graduate Degree,Poverty Rate,Unemployment Rate,Housing Units,Occupied Units,Vacancy Rates,Median Value of Owner-Occupied Units,Total Value of Residential Units
Holden Heights ,Orange,Central Florida,1,,,,"3,485",4,,"3,399","$58,192 ","$98,693,632 ",47,15%,8%,0.00%,6.20%,"1,696","1,311",23%,"$262,400 ","$344,006,400 "
Holiday,Pasco,Suncoast,5,28.1862,-82.7426,"24,939","25,701",3,1.00%,"4,827","$37,068 ","$478,844,424 ",44,8.00%,2.00%,13.00%,9.90%,"12,918","9,847",24%,"$88,100 ","$867,520,700 "
Holley ,Santa Rosa,Florida Panhandle,4,,,,"2,244",4,,632,"$80,202 ","$68,652,912 ",40,17%,12%,6.00%,7.00%,856,832,3%,"$279,700 ","$232,710,400 "
Holly Hill,Volusia,Northeast Florida,4,29.2456,-81.047,"12,958","13,348",4,1.00%,"3,368","$37,333 ","$276,637,530 ",45,13.00%,6.00%,21.70%,8.00%,"7,410","6,087",18%,"$131,100 ","$798,005,700 "
Hollywood,Broward,Southeast Florida,27,26.031,-80.1646,"153,067","156,757",2,0.80%,"5,749","$56,912 ","$4,047,752,176 ",40,17.00%,12.00%,9.20%,6.50%,"71,123","58,795",17%,"$296,000 ","$17,403,320,000 "
Holmes Beach ,Manatee,Suncoast,2,,,,"3,132",4,,"1,867","$78,311 ","$325,460,516 ",64,32%,26%,16.20%,3.50%,"4,156","1,617",61%,"$596,400 ","$964,378,800 "
Homestead,Miami-Dade,South Florida,15,25.4663,-80.443,"80,737","86,803",3,2.40%,"5,755","$52,334 ","$1,309,187,344 ",31,16.00%,8.00%,18.80%,6.30%,"25,016","23,480",6%,"$253,200 ","$5,945,136,000 "
Homosassa ,Citrus,Central Florida,8,,,,"1,888",4,,242,"$59,018 ","$111,721,074 ",66,23%,8%,6.90%,5.00%,"1,893","1,135",40%,"$313,400 ","$355,709,000 "
Homosassa Springs,Citrus,Central Florida,25,28.8093,-82.5408,"14,283","14,430",4,0.30%,573,"$41,250 ","$289,245,000 ",51,5.00%,1.00%,13.50%,8.50%,"7,012","5,851",17%,"$94,900 ","$555,259,900 "
Horizon West,Orange,Central Florida,33,28.4402,-81.6134,"58,101","71,331",3,6.60%,"2,170","$107,695 ","$1,908,032,315 ",34,36.00%,17.00%,5.30%,3.50%,"17,717","16,506",7%,"$391,500 ","$6,462,099,000 "
Howey-in-the-Hills ,Lake,Central Florida,3,,,,"1,878",4,,594,"$73,813 ","$63,110,115 ",51,22%,12%,15.00%,2.10%,855,785,8%,"$268,500 ","$210,772,500 "
Hudson,Pasco,Suncoast,6,28.3592,-82.6897,"12,944","13,181",4,0.60%,"2,073","$43,508 ","$344,191,788 ",61,11.00%,7.00%,6.20%,6.10%,"7,911","5,753",27%,"$171,100 ","$984,338,300 "
Hunters Creek,Orange,Central Florida,7,28.3598,-81.437,"24,433","27,466",3,3.80%,"3,904","$83,196 ","$745,269,768 ",39,27.00%,18.00%,7.50%,3.10%,"8,958","6,298",30%,"$320,700 ","$2,019,768,600 "
Hurlburt Field ,Okaloosa,Florida Panhandle,10,,,,"2,577",4,,256,"$40,400 ","$28,562,800 ",22,48%,4%,9.50%,0.00%,707,584,17%,"$231,500 ","$135,196,000 "
Hutchinson Island South,St. Lucie,Southeast Florida,4,27.3053,-80.2202,"4,988","4,925",4,-0.40%,"1,144","$57,019 ","$404,207,691 ",72,19.00%,17.00%,3.60%,5.30%,"7,089","2,678",62%,"$316,200 ","$846,783,600 "
Hypoluxo ,Palm Beach,Southeast Florida,1,,,,"2,703",4,,"4,766","$71,154 ","$143,588,772 ",48,28%,14%,2.70%,24.30%,"2,018","1,242",38%,"$223,800 ","$277,959,600 "
Immokalee,Collier,Suncoast,23,26.424,-81.4216,"24,557","24,677",4,0.20%,"1,086","$40,114 ","$302,579,902 ",29,5.00%,2.00%,25.00%,6.60%,"7,543","6,732",11%,"$156,100 ","$1,050,865,200 "
Indialantic ,Brevard,Northeast Florida,1,,,,"2,984",4,,"3,071","$76,773 ","$130,744,419 ",51,31%,24%,16.60%,4.60%,"1,703","1,433",16%,"$408,400 ","$585,237,200 "
Indian Harbour Beach,Brevard,Northeast Florida,2,28.1575,-80.6001,"9,019","9,256",4,0.90%,"4,422","$73,136 ","$341,837,664 ",51,21.00%,25.00%,13.90%,4.50%,"4,674","3,830",18%,"$321,600 ","$1,231,728,000 "
Indian River Estates,St. Lucie,Southeast Florida,6,27.3552,-80.298,"6,584","6,692",4,0.50%,"1,201","$45,417 ","$137,976,846 ",51,16.00%,6.00%,16.60%,5.30%,"3,038","2,791",8%,"$177,700 ","$495,960,700 "
Indian River Shores,Indian River,Southeast Florida,5,27.7101,-80.382,"4,241","4,343",4,0.80%,848,"$141,932 ","$492,787,904 ",74,37.00%,38.00%,1.30%,3.00%,"3,472","2,215",36%,"$774,700 ","$1,715,960,500 "
Indian Rocks Beach ,Pinellas,Suncoast,1,,,,"3,740",4,,"4,429","$83,348 ","$278,632,364 ",57,29%,17%,0.00%,4.90%,"3,343","1,897",43%,"$534,000 ","$1,012,998,000 "
Indiantown,Martin,Southeast Florida,14,,,,"6,633",4,,466,"$44,234 ","$100,190,010 ",31,4.00%,1.00%,17.10%,5.40%,"2,265","1,964",13%,"$85,000 ","$166,940,000 "
Inglis ,Levy,Northeast Florida,3,,,,"1,669",4,,489,"$40,750 ","$36,145,250 ",54,10%,2%,8.30%,8.10%,887,763,14%,"$143,300 ","$109,337,900 "
Interlachen ,Putnam,Northeast Florida,6,,,,"1,646",4,,270,"$44,583 ","$33,437,250 ",49,7%,3%,2.20%,13.50%,750,622,17%,"$70,500 ","$43,851,000 "
Inverness,Citrus,Central Florida,8,28.8405,-82.3437,"7,543","7,642",4,0.40%,"1,004","$39,532 ","$176,273,188 ",59,9.00%,5.00%,7.30%,6.10%,"4,459","3,664",18%,"$120,100 ","$440,046,400 "
Inverness Highlands North ,Citrus,Central Florida,2,,,,"2,625",4,,"1,309","$48,750 ","$51,675,000 ",40,6%,0%,11.30%,1.10%,"1,060","1,008",5%,"$124,400 ","$125,395,200 "
Inverness Highlands South,Citrus,Central Florida,6,28.8007,-82.3372,"6,698","6,746",4,0.20%,"1,203","$50,907 ","$173,185,614 ",53,11.00%,2.00%,5.30%,6.10%,"3,402","2,958",13%,"$154,500 ","$457,011,000 "
Inwood,Polk,Central Florida,2,28.0385,-81.7674,"7,031","7,220",4,0.90%,"3,796","$31,978 ","$96,893,340 ",36,6.00%,0.00%,25.00%,7.80%,"3,030","2,389",21%,"$94,400 ","$225,521,600 "
Iona,Lee,Suncoast,7,26.5172,-81.9608,"16,908","17,370",4,0.90%,"2,625","$53,802 ","$718,149,096 ",68,26.00%,14.00%,4.90%,3.00%,"13,348","7,473",44%,"$200,800 ","$1,500,578,400 "
Islamorada,Monroe,South Florida,6,,,,"7,051",4,,"1,086","$77,423 ","$461,441,080 ",55,22.00%,17.00%,2.40%,1.00%,"5,960","3,210",46%,"$738,800 ","$2,371,548,000 "
Island Walk ,Collier,Suncoast,1,,,,"2,549",4,,"2,492","$70,022 ","$138,783,604 ",68,31%,15%,13.50%,15.50%,"1,982","1,220",38%,"$466,800 ","$569,496,000 "
Ives Estates,Miami-Dade,South Florida,3,25.9634,-80.1829,"25,005","26,649",3,2.10%,"10,463","$60,956 ","$596,698,284 ",38,20.00%,12.00%,6.10%,5.50%,"9,789","9,081",7%,"$197,700 ","$1,795,313,700 "
Jacksonville,Duval,Northeast Florida,747,30.3369,-81.6616,"949,611","987,960",1,1.30%,"1,322","$58,263 ","$23,678,607,567 ",36,20.00%,9.00%,11.00%,5.30%,"406,409","366,780",10%,"$203,400 ","$74,603,052,000 "
Jacksonville Beach,Duval,Northeast Florida,7,30.2725,-81.3856,"23,830","24,571",4,1.00%,"3,358","$99,933 ","$1,234,072,617 ",42,35.00%,22.00%,5.80%,2.00%,"12,349","10,655",14%,"$402,700 ","$4,290,768,500 "
Jan Phyl Village,Polk,Central Florida,5,28.0162,-81.7938,"5,927","6,032",4,0.60%,"1,319","$63,227 ","$148,456,996 ",30,12.00%,3.00%,12.20%,4.20%,"2,348","2,186",7%,"$156,300 ","$341,671,800 "
Jasmine Estates,Pasco,Suncoast,4,28.2961,-82.6892,"21,525","22,287",4,1.20%,"6,280","$40,206 ","$403,507,416 ",38,7.00%,3.00%,17.20%,4.60%,"10,036","9,087",9%,"$122,100 ","$1,109,522,700 "
Jasper,Hamilton,Northeast Florida,2,,,,"4,984",4,,"2,051","$35,720 ","$34,755,560 ",37,6.00%,1.00%,23.30%,7.50%,973,736,24%,"$81,400 ","$59,910,400 "
Jensen Beach,Martin,Southeast Florida,7,27.244,-80.2411,"12,652","12,934",4,0.70%,"1,855","$55,614 ","$396,472,206 ",52,21.00%,13.00%,12.60%,5.40%,"7,129","5,906",17%,"$266,200 ","$1,572,177,200 "
June Park,Brevard,Northeast Florida,3,28.0717,-80.6878,"4,283","4,340",4,0.40%,"1,452","$71,982 ","$124,096,968 ",43,20.00%,7.00%,2.40%,3.80%,"1,724","1,603",7%,"$250,800 ","$402,032,400 "
Juno Beach ,Palm Beach,Southeast Florida,2,,,,"3,730",4,,"1,829","$65,638 ","$241,613,478 ",68,34%,25%,4.50%,8.00%,"3,681","2,324",37%,"$487,600 ","$1,133,182,400 "
Jupiter,Palm Beach,Southeast Florida,22,26.9186,-80.1169,"61,047","62,814",3,0.90%,"2,904","$94,121 ","$2,913,892,039 ",46,30.00%,20.00%,4.80%,4.40%,"30,959","24,825",20%,"$423,100 ","$10,503,457,500 "
Jupiter Farms,Palm Beach,Southeast Florida,15,26.9225,-80.218,"12,572","12,746",4,0.50%,854,"$126,530 ","$582,544,120 ",43,28.00%,12.00%,1.30%,2.50%,"4,604","4,407",4%,"$448,400 ","$1,976,098,800 "
Kathleen,Polk,Central Florida,7,28.1192,-82.04,"6,486","6,531",4,0.20%,908,"$50,076 ","$115,475,256 ",37,6.00%,2.00%,9.30%,4.40%,"2,306","2,109",9%,"$150,400 ","$317,193,600 "
Kendale Lakes,Miami-Dade,South Florida,8,25.7069,-80.4116,"55,646","55,496",3,-0.10%,"6,873","$62,729 ","$1,227,104,698 ",47,20.00%,8.00%,11.40%,4.80%,"19,562","18,972",3%,"$298,800 ","$5,668,833,600 "
Kendall,Miami-Dade,South Florida,16,25.6695,-80.3547,"80,241","81,702",3,0.60%,"5,070","$78,868 ","$2,491,597,856 ",42,26.00%,17.00%,7.50%,3.60%,"31,592","29,221",8%,"$395,900 ","$11,568,593,900 "
Kendall West,Miami-Dade,South Florida,3,25.7068,-80.4407,"36,536","36,650",3,0.10%,"13,327","$61,888 ","$820,572,992 ",43,23.00%,8.00%,15.40%,2.80%,"13,259","12,708",4%,"$293,300 ","$3,727,256,400 "
Kenneth City,Pinellas,Suncoast,1,27.8161,-82.7146,"5,047","5,068",4,0.10%,"7,098","$47,827 ","$117,702,247 ",53,10.00%,6.00%,7.30%,4.00%,"2,461","1,973",20%,"$179,900 ","$354,942,700 "
Kensington Park ,Sarasota,Suncoast,1,,,,"3,689",4,,"3,816","$62,743 ","$90,600,892 ",39,11%,9%,3.40%,1.90%,"1,444","1,359",6%,"$193,800 ","$263,374,200 "
Key Biscayne,Miami-Dade,South Florida,1,25.6907,-80.1656,"14,809","15,547",4,1.60%,"12,468","$167,990 ","$1,259,085,050 ",42,38.00%,35.00%,6.10%,3.90%,"7,495","4,580",39%,"$1,246,700 ","$5,709,886,000 "
Key Largo,Monroe,South Florida,12,25.1226,-80.4116,"12,447","13,050",4,1.60%,"1,083","$66,463 ","$559,485,534 ",52,19.00%,14.00%,8.70%,6.40%,"8,418","4,612",45%,"$507,300 ","$2,339,667,600 "
Key West,Monroe,South Florida,6,24.5651,-81.7755,"26,444","26,984",3,0.70%,"4,827","$75,638 ","$1,080,942,658 ",44,23.00%,15.00%,5.70%,2.00%,"14,291","11,002",23%,"$728,500 ","$8,014,957,000 "
Keystone,Hillsborough,Suncoast,35,28.1276,-82.6081,"25,211","25,562",3,0.50%,728,"$142,711 ","$1,355,040,945 ",45,34.00%,23.00%,2.60%,4.30%,"9,495","9,001",5%,"$428,500 ","$3,856,928,500 "
Kissimmee,Osceola,Central Florida,21,28.3028,-81.4178,"79,226","85,088",3,2.40%,"4,089","$41,746 ","$1,187,590,208 ",35,14.00%,5.00%,20.90%,5.70%,"28,448","22,755",20%,"$217,000 ","$4,937,835,000 "
LaBelle,Hendry,Suncoast,14,26.721,-81.4525,"4,966","5,065",4,0.70%,350,"$33,918 ","$57,219,666 ",32,4.00%,3.00%,27.70%,2.30%,"1,687","1,355",20%,"$119,400 ","$161,787,000 "
Lacoochee ,Pasco,Suncoast,3,,,,"1,562",4,,547,"$20,519 ","$7,817,739 ",25,4%,3%,0.00%,53.90%,381,334,12%,"$83,000 ","$27,722,000 "
Lady Lake,Lake,Central Florida,8,28.9244,-81.9298,"15,970","16,582",4,1.20%,"2,003","$42,088 ","$406,275,464 ",66,13.00%,9.00%,7.90%,6.60%,"9,653","8,010",17%,"$161,500 ","$1,293,615,000 "
Laguna Beach,Bay,Florida Panhandle,3,30.2547,-85.9511,"4,330","4,450",4,0.90%,"1,771","$69,674 ","$353,804,572 ",59,17.00%,13.00%,1.70%,0.70%,"5,078","2,218",56%,"$270,900 ","$600,856,200 "
Lake Alfred,Polk,Central Florida,9,28.0988,-81.7248,"6,374","6,782",4,2.00%,734,"$48,203 ","$120,603,906 ",39,7.00%,7.00%,8.90%,8.60%,"2,502","2,092",16%,"$180,800 ","$378,233,600 "
Lake Belvedere Estates ,Palm Beach,Southeast Florida,0,,,,"1,951",4,,"7,093","$64,583 ","$37,199,808 ",30,12%,12%,40.40%,8.10%,576,510,11%,"$245,600 ","$125,256,000 "
Lake Butler,Union,Northeast Florida,11,28.4828,-81.5387,"18,851","19,886",4,1.80%,"1,745","$132,958 ","$853,590,360 ",42,37.00%,21.00%,4.40%,1.10%,"6,420","5,520",14%,"$695,800 ","$3,840,816,000 "
Lake Butler ,Union,Northeast Florida,2,,,,"1,793",4,,776,"$36,701 ","$27,158,740 ",30,5%,7%,26.20%,10.40%,740,727,2%,"$115,500 ","$83,968,500 "
Lake City,Columbia,Northeast Florida,12,30.1909,-82.6473,"12,329","12,413",4,0.20%,"1,048","$43,396 ","$239,936,484 ",36,16.00%,7.00%,14.00%,5.10%,"5,529","4,813",13%,"$133,400 ","$642,054,200 "
Lake Clarke Shores ,Palm Beach,Southeast Florida,1,,,,"3,570",4,,"3,870","$133,997 ","$174,330,097 ",46,37%,12%,3.10%,6.60%,"1,301","1,107",15%,"$416,800 ","$461,397,600 "
Lake Helen ,Volusia,Northeast Florida,5,,,,"2,827",4,,621,"$58,370 ","$68,468,010 ",39,16%,4%,6.90%,4.10%,"1,173",946,19%,"$194,900 ","$184,375,400 "
Lake Kerr ,Marion,Central Florida,10,,,,"1,923",4,,195,"$43,106 ","$67,288,466 ",61,12%,5%,20.20%,20.50%,"1,561",860,45%,"$105,800 ","$90,988,000 "
Lake Lorraine,Okaloosa,Florida Panhandle,2,30.4406,-86.5654,"7,142","7,181",4,0.20%,"3,479","$85,556 ","$282,677,024 ",40,26.00%,23.00%,5.70%,1.80%,"3,304","2,944",11%,"$311,200 ","$916,172,800 "
Lake Mack-Forest Hills ,Lake,Central Florida,5,,,,"2,252",4,,466,"$96,739 ","$62,203,177 ",41,9%,1%,8.00%,30.80%,643,604,6%,"$154,000 ","$93,016,000 "
Lake Magdalene,Hillsborough,Suncoast,10,28.0817,-82.4842,"30,742","31,411",3,0.70%,"3,076","$69,045 ","$940,669,080 ",42,24.00%,15.00%,7.90%,4.00%,"13,624","12,638",7%,"$268,300 ","$3,390,775,400 "
Lake Mary,Seminole,Central Florida,9,28.7591,-81.3328,"16,798","17,692",4,1.70%,"1,948","$94,770 ","$648,890,190 ",43,33.00%,17.00%,0.80%,3.30%,"6,847","6,438",6%,"$350,700 ","$2,257,806,600 "
Lake Mary Jane ,Orange,Central Florida,5,,,,"2,136",4,,407,"$135,699 ","$102,181,347 ",59,21%,8%,25.40%,3.60%,753,753,0%,"$357,500 ","$269,197,500 "
Lake Panasoffkee,Sumter,Central Florida,4,28.7835,-82.1353,"4,072","4,228",4,1.20%,"1,066",,$0 ,,,,,,,,#DIV/0!,,$0 
Lake Park,Palm Beach,Southeast Florida,2,26.8001,-80.0675,"9,047","9,314",4,1.00%,"4,467","$60,632 ","$218,214,568 ",36,18.00%,10.00%,12.90%,5.90%,"3,599","2,944",18%,"$264,800 ","$779,571,200 "
Lake Placid ,Highlands,Central Florida,5,,,,"2,433",4,,522,"$41,610 ","$51,305,130 ",38,15%,7%,10.50%,10.70%,"1,233",868,30%,"$152,900 ","$132,717,200 "
Lake Sarasota,Sarasota,Suncoast,1,,,,"4,032",4,,"6,018","$92,971 ","$131,275,052 ",37,19.00%,6.00%,4.30%,3.50%,"1,412","1,347",5%,"$251,200 ","$338,366,400 "
Lake Wales,Polk,Central Florida,19,27.9207,-81.5995,"16,361","17,003",4,1.30%,902,"$49,226 ","$397,844,532 ",45,12.00%,7.00%,12.50%,4.50%,"8,082","6,646",18%,"$189,700 ","$1,260,746,200 "
Lake Worth Beach,Palm Beach,Southeast Florida,6,,,,"41,608",3,,"7,174","$51,134 ","$860,789,756 ",36,13.00%,9.00%,19.60%,7.10%,"16,834","14,517",14%,"$246,000 ","$3,571,182,000 "
Lakeland,Polk,Central Florida,66,28.0555,-81.9548,"112,641","117,207",2,1.30%,"1,772","$52,972 ","$2,701,624,972 ",41,17.00%,9.00%,11.90%,6.00%,"51,001","42,875",16%,"$171,700 ","$7,361,637,500 "
Lakeland Highlands,Polk,Central Florida,5,27.9574,-81.9511,"12,187","12,526",4,0.90%,"2,576","$94,848 ","$432,127,488 ",46,24.00%,18.00%,1.60%,3.50%,"4,556","4,294",6%,"$289,900 ","$1,244,830,600 "
Lakeside,Clay,Northeast Florida,13,30.1365,-81.7692,"31,275","31,374",3,0.10%,"2,332","$74,219 ","$896,936,615 ",39,14.00%,6.00%,6.70%,7.50%,"12,085","11,277",7%,"$186,300 ","$2,100,905,100 "
Lakewood Park,St. Lucie,Southeast Florida,7,27.539,-80.3872,"12,510","12,867",4,0.90%,"1,936","$53,866 ","$328,151,672 ",54,15.00%,4.00%,5.70%,5.40%,"6,092","5,408",11%,"$173,500 ","$938,288,000 "
Lakewood Ranch,Manatee,Suncoast,43,,,,"29,408",3,,678,"$110,026 ","$1,623,763,708 ",51,29.00%,26.00%,2.60%,2.80%,"14,758","11,096",25%,"$474,600 ","$5,266,161,600 "
Land O' Lakes,Pasco,Suncoast,19,28.2083,-82.4458,"35,929","37,108",3,1.10%,"1,946","$84,146 ","$1,180,147,650 ",42,23.00%,12.00%,6.40%,3.80%,"14,025","13,656",3%,"$269,900 ","$3,685,754,400 "
Lantana,Palm Beach,Southeast Florida,2,26.5834,-80.0554,"11,504","11,828",4,0.90%,"4,984","$57,683 ","$333,061,642 ",43,13.00%,8.00%,8.50%,9.90%,"5,774","4,882",15%,"$260,700 ","$1,272,737,400 "
Largo,Pinellas,Suncoast,18,27.9059,-82.7672,"82,485","83,937",3,0.60%,"4,540","$50,948 ","$2,349,314,176 ",48,17.00%,8.00%,6.90%,5.30%,"46,112","36,279",21%,"$152,800 ","$5,543,431,200 "
Lauderdale Lakes,Broward,Southeast Florida,4,26.1669,-80.2008,"35,954","36,962",3,0.90%,"10,041","$40,217 ","$644,598,076 ",37,10.00%,4.00%,18.50%,7.80%,"16,028","13,041",19%,"$160,300 ","$2,090,472,300 "
Lauderdale-by-the-Sea,Broward,Southeast Florida,1,26.199,-80.0946,"6,198","6,240",4,0.20%,"7,115","$71,841 ","$466,176,249 ",61,29.00%,23.00%,2.00%,2.90%,"6,489","3,378",48%,"$481,500 ","$1,626,507,000 "
Lauderhill,Broward,Southeast Florida,9,26.1622,-80.2244,"74,482","76,762",3,1.00%,"9,010","$44,634 ","$1,362,051,144 ",37,11.00%,8.00%,15.70%,8.00%,"30,516","26,240",14%,"$190,800 ","$5,006,592,000 "
Laurel,Sarasota,Suncoast,5,27.1453,-82.462,"12,186","13,392",4,3.10%,"2,612","$69,850 ","$467,226,650 ",61,22.00%,17.00%,2.30%,6.00%,"6,689","5,572",17%,"$338,200 ","$1,884,450,400 "
Lealman,Pinellas,Suncoast,4,27.8197,-82.6846,"21,189","21,582",4,0.60%,"5,359","$41,313 ","$448,535,241 ",41,13.00%,3.00%,9.90%,7.20%,"10,857","8,879",18%,"$133,600 ","$1,186,234,400 "
Lecanto,Citrus,Central Florida,27,28.823,-82.5007,"6,301","6,427",4,0.70%,239,"$47,593 ","$137,543,770 ",45,9.00%,8.00%,2.70%,4.40%,"2,890","2,473",14%,"$208,900 ","$516,609,700 "
Leesburg,Lake,Central Florida,37,28.8283,-81.7778,"27,000","29,064",3,2.40%,794,"$37,350 ","$458,359,200 ",43,10.00%,4.00%,18.70%,9.00%,"12,272","10,778",12%,"$162,100 ","$1,747,113,800 "
Lehigh Acres,Lee,Suncoast,93,26.6127,-81.6388,"114,287","122,537",2,2.30%,"1,323","$52,894 ","$2,075,348,984 ",34,10.00%,4.00%,16.10%,5.30%,"39,236","36,122",8%,"$187,400 ","$6,769,262,800 "
Leisure City,Miami-Dade,South Florida,3,25.4938,-80.438,"26,324","27,425",3,1.40%,"8,057","$38,259 ","$297,348,948 ",32,11.00%,2.00%,17.90%,7.80%,"7,772","7,435",4%,"$249,700 ","$1,856,519,500 "
Lely ,Collier,Suncoast,1,,,,"3,530",4,,"2,573","$55,781 ","$150,552,919 ",66,18%,12%,23.30%,1.50%,"2,699","1,742",35%,"$237,300 ","$413,376,600 "
Lely Resort,Collier,Suncoast,5,26.0964,-81.7045,"7,619","8,510",4,3.60%,"1,706","$75,255 ","$443,026,185 ",59,32.00%,20.00%,0.00%,1.80%,"5,887","3,646",38%,"$586,300 ","$2,137,649,800 "
Liberty Triangle,Marion,Central Florida,18,,,,"21,409",4,,"1,164","$54,684 ","$614,921,580 ",62,17.00%,9.00%,4.30%,7.90%,"11,245","10,195",9%,"$172,600 ","$1,759,657,000 "
Lighthouse Point,Broward,Southeast Florida,2,26.2778,-80.0886,"10,486","10,528",4,0.10%,"4,564","$80,621 ","$514,765,085 ",56,33.00%,16.00%,3.80%,2.10%,"6,385","5,273",17%,"$541,500 ","$2,855,329,500 "
Limestone Creek ,Palm Beach,Southeast Florida,0,,,,"1,597",4,,"4,085","$77,512 ","$32,012,456 ",39,7%,7%,13.60%,5.00%,413,413,0%,"$313,000 ","$129,269,000 "
Live Oak,Suwannee,Northeast Florida,8,30.2957,-82.9851,"6,735","6,699",4,-0.20%,878,"$45,417 ","$132,435,972 ",40,11.00%,7.00%,17.60%,12.70%,"2,916","2,452",16%,"$104,400 ","$255,988,800 "
Lochmoor Waterway Estates,Lee,Suncoast,2,26.6438,-81.9096,"5,828","6,314",4,2.60%,"2,863","$72,799 ","$214,757,050 ",57,23.00%,12.00%,2.80%,3.70%,"2,950","2,317",21%,"$249,400 ","$577,859,800 "
Lockhart,Orange,Central Florida,4,28.6271,-81.4338,"14,058","14,358",4,0.70%,"3,233","$59,123 ","$334,754,426 ",37,20.00%,6.00%,8.30%,4.20%,"5,662","5,310",6%,"$200,300 ","$1,063,593,000 "
Longboat Key,Manatee,Suncoast,4,27.4005,-82.6442,"7,505","7,691",4,0.80%,"1,886","$121,797 ","$1,182,283,479 ",71,31.00%,35.00%,2.70%,2.40%,"9,707","4,106",58%,"$756,500 ","$3,106,189,000 "
Longwood,Seminole,Central Florida,5,28.7014,-81.3484,"15,087","15,516",4,0.90%,"2,831","$69,418 ","$417,757,524 ",43,21.00%,7.00%,6.00%,5.80%,"6,018","5,611",7%,"$241,900 ","$1,357,300,900 "
Loughman,Polk,Central Florida,3,28.238,-81.5698,"5,417","6,239",4,4.60%,"1,826","$51,335 ","$139,117,850 ",30,15.00%,9.00%,9.80%,3.90%,"2,710","2,275",16%,"$228,400 ","$519,610,000 "
Lower Grand Lagoon,Bay,Florida Panhandle,2,30.1431,-85.7522,"4,398","4,554",4,1.20%,"2,169","$69,141 ","$481,221,360 ",51,19.00%,11.00%,6.10%,6.70%,"6,960","2,513",64%,"$271,900 ","$683,284,700 "
Loxahatchee Groves ,Palm Beach,Southeast Florida,13,,,,"3,381",4,,270,"$104,792 ","$150,900,480 ",53,16%,8%,2.80%,5.10%,"1,440","1,267",12%,"$503,500 ","$637,934,500 "
Lutz,Hillsborough,Suncoast,24,28.1407,-82.4497,"23,707","25,015",3,1.80%,"1,025","$96,792 ","$888,937,728 ",41,25.00%,23.00%,2.00%,2.10%,"9,184","8,840",4%,"$350,100 ","$3,094,884,000 "
Lynn Haven,Bay,Florida Panhandle,10,30.2336,-85.6369,"18,695","18,755",4,0.10%,"1,796","$71,812 ","$587,063,100 ",33,21.00%,9.00%,5.70%,4.00%,"8,175","7,044",14%,"$224,700 ","$1,582,786,800 "
Macclenny,Baker,Northeast Florida,5,30.281,-82.1253,"7,304","7,583",4,1.20%,"1,562","$58,153 ","$154,279,909 ",37,10.00%,8.00%,13.60%,3.60%,"2,653","2,404",9%,"$181,600 ","$436,566,400 "
Madeira Beach ,Pinellas,Suncoast,1,,,,"3,947",4,,"4,021","$60,000 ","$245,280,000 ",60,19%,19%,10.90%,4.80%,"4,088","1,924",53%,"$494,700 ","$951,802,800 "
Madison ,Madison,Northeast Florida,3,,,,"2,903",4,,"1,102","$30,781 ","$41,000,292 ",34,9%,5%,7.70%,9.10%,"1,332","1,104",17%,"$67,600 ","$74,630,400 "
Maitland,Orange,Central Florida,5,28.6296,-81.3729,"19,543","20,680",4,1.90%,"3,849","$84,289 ","$787,343,549 ",36,36.00%,20.00%,8.40%,4.40%,"9,341","8,143",13%,"$424,700 ","$3,458,332,100 "
Malabar ,Brevard,Northeast Florida,11,,,,"2,955",4,,276,"$81,583 ","$104,507,823 ",55,22%,7%,2.20%,4.10%,"1,281","1,240",3%,"$322,400 ","$399,776,000 "
Malone ,Jackson,Florida Panhandle,3,,,,"2,175",4,,714,"$38,500 ","$14,899,500 ",37,3%,1%,19.70%,3.40%,387,312,19%,"$69,600 ","$21,715,200 "
Manasota Key ,Charlotte,Suncoast,1,,,,"1,619",4,,"1,530","$110,789 ","$240,190,552 ",72,25%,15%,0.00%,7.30%,"2,168",886,59%,"$537,300 ","$476,047,800 "
Manatee Road ,Levy,Northeast Florida,13,,,,"1,967",4,,151,"$35,069 ","$36,927,657 ",56,13%,6%,10.70%,9.60%,"1,053",899,15%,"$93,000 ","$83,607,000 "
Mango,Hillsborough,Suncoast,5,27.9901,-82.3083,"12,699","13,116",4,1.10%,"2,810","$38,295 ","$209,167,290 ",41,6.00%,4.00%,18.10%,3.90%,"5,462","4,920",10%,"$163,200 ","$802,944,000 "
Mangonia Park ,Palm Beach,Southeast Florida,1,,,,"2,035",4,,"2,720","$37,614 ","$26,969,238 ",31,5%,0%,3.40%,4.10%,717,649,9%,"$143,800 ","$93,326,200 "
Marathon,Monroe,South Florida,8,24.7323,-81.0251,"9,689","10,106",4,1.40%,"1,197","$63,375 ","$410,353,125 ",49,19.00%,9.00%,6.30%,6.70%,"6,475","3,996",38%,"$586,500 ","$2,343,654,000 "
Marco Island,Collier,Suncoast,12,25.932,-81.7048,"15,760","15,565",4,-0.40%,"1,280","$93,134 ","$1,671,103,362 ",67,26.00%,18.00%,4.00%,5.10%,"17,943","8,131",55%,"$689,000 ","$5,602,259,000 "
